;-10;0.0154271;-2;-0.25;0.259298;0.0154271;0.19245;0.03125;0.0385964;0.0997889;-0.0385678;-2.6943;10;-0.0154271;-0.0385964;0.0749891;0.08
-10;;0.19245;0.0154271;0.0385964;0.03125;-2;0.0154271;0.259298;-0.25;-0.0385678;0.0997889;-0.0154271;10;-2.6943;0.08;0.0749891;-0.0385964
0.0154271;0.19245;;-10;2.6943;-2;0.03125;-0.08;-0.0749891;-0.0385678;-0.25;0.0385964;10;-0.0154271;-0.0385964;-0.0154271;-0.259298;-0.0997889
-2;0.0154271;-10;;-2;2.6943;-0.37037;0.03125;0.19245;-0.0749891;0.259298;0.03125;10;-2.6943;-0.259298;-0.0154271;0.37037;0.0749891
-0.25;0.0385964;2.6943;-2;;-10;-0.0749891;-0.0385678;0.03125;-0.08;0.0154271;0.19245;-0.0154271;-0.259298;-0.0997889;10;-0.0154271;-0.0385964
0.259298;0.03125;-2;2.6943;-10;;0.19245;-0.0749891;-0.37037;0.03125;-2;0.0154271;-0.0154271;0.37037;0.0749891;10;-2.6943;-0.259298
0.0154271;-2;0.03125;-0.37037;-0.0749891;0.19245;;-10;2.6943;-2;0.03125;0.259298;-0.259298;-2.6943;10;0.0749891;0.37037;-0.0154271
0.19245;0.0154271;-0.08;0.03125;-0.0385678;-0.0749891;-10;;-2;2.6943;0.0385964;-0.25;-0.0385964;-0.0154271;10;-0.0997889;-0.259298;-0.0154271
0.03125;0.259298;-0.0749891;0.19245;0.03125;-0.37037;2.6943;-2;;-10;0.0154271;-2;0.0749891;0.37037;-0.0154271;-0.259298;-2.6943;10
0.0385964;-0.25;-0.0385678;-0.0749891;-0.08;0.03125;-2;2.6943;-10;;0.19245;0.0154271;-0.0997889;-0.259298;-0.0154271;-0.0385964;-0.0154271;10
0.0997889;-0.0385678;-0.25;0.259298;0.0154271;-2;0.03125;0.0385964;0.0154271;0.19245;;-10;-0.0385964;0.0749891;0.08;-2.6943;10;-0.0154271
-0.0385678;0.0997889;0.0385964;0.03125;0.19245;0.0154271;0.259298;-0.25;-2;0.0154271;-10;;0.08;0.0749891;-0.0385964;-0.0154271;10;-2.6943
-2.6943;-0.0154271;10;10;-0.0154271;-0.0154271;-0.259298;-0.0385964;0.0749891;-0.0997889;-0.0385964;0.08;;-2;-0.25;0.19245;0.03125;-0.0385678
10;10;-0.0154271;-2.6943;-0.259298;0.37037;-2.6943;-0.0154271;0.37037;-0.259298;0.0749891;0.0749891;-2;;-2;0.03125;0.19245;0.03125
-0.0154271;-2.6943;-0.0385964;-0.259298;-0.0997889;0.0749891;10;10;-0.0154271;-0.0154271;0.08;-0.0385964;-0.25;-2;;-0.0385678;0.03125;0.19245
-0.0385964;0.08;-0.0154271;-0.0154271;10;10;0.0749891;-0.0997889;-0.259298;-0.0385964;-2.6943;-0.0154271;0.19245;0.03125;-0.0385678;;-2;-0.25
0.0749891;0.0749891;-0.259298;0.37037;-0.0154271;-2.6943;0.37037;-0.259298;-2.6943;-0.0154271;10;10;0.03125;0.19245;0.03125;-2;;-2
0.08;-0.0385964;-0.0997889;0.0749891;-0.0385964;-0.259298;-0.0154271;-0.0154271;10;10;-0.0154271;-2.6943;-0.0385678;0.03125;0.19245;-0.25;-2;
